,NewYork,Greater London,Chicago,Los Angeles,Houston,West Yorkshire,San Francisco,Glasgow City,West Midlands,Greater Manchester
NewYork,0.0,2.449923515319824,3.1802070140838623,2.9386367797851562,2.9399471282958984,3.516979217529297,2.537423610687256,1.9411548376083374,2.266503095626831,3.1685454845428467
Greater London,2.449923515319824,0.0,3.4949004650115967,3.134570598602295,3.541581869125366,4.380478382110596,3.5145905017852783,2.169119358062744,2.633256673812866,3.828521966934204
Chicago,3.1802070140838623,3.4949004650115967,0.0,3.0191609859466553,3.6168313026428223,4.535456657409668,3.520610809326172,3.168205499649048,3.5040194988250732,4.056962490081787
Los Angeles,2.9386367797851562,3.134570598602295,3.0191609859466553,0.0,2.447333812713623,4.6233649253845215,3.5919997692108154,3.4918057918548584,3.5508368015289307,4.220761299133301
Houston,2.9399471282958984,3.541581869125366,3.6168313026428223,2.447333812713623,0.0,3.146185874938965,2.7263009548187256,2.883455991744995,2.5475711822509766,2.7293717861175537
West Yorkshire,3.516979217529297,4.380478382110596,4.535456657409668,4.6233649253845215,3.146185874938965,0.0,1.934869408607483,2.601168632507324,2.2771027088165283,0.8761394619941711
San Francisco,2.537423610687256,3.5145905017852783,3.520610809326172,3.5919997692108154,2.7263009548187256,1.934869408607483,0.0,1.8283429145812988,2.098094940185547,1.7639806270599365
Glasgow City,1.9411548376083374,2.169119358062744,3.168205499649048,3.4918057918548584,2.883455991744995,2.601168632507324,1.8283429145812988,0.0,1.2042968273162842,2.040282964706421
West Midlands,2.266503095626831,2.633256673812866,3.5040194988250732,3.5508368015289307,2.5475711822509766,2.2771027088165283,2.098094940185547,1.2042968273162842,0.0,1.7103465795516968
Greater Manchester,3.1685454845428467,3.828521966934204,4.056962490081787,4.220761299133301,2.7293717861175537,0.8761394619941711,1.7639806270599365,2.040282964706421,1.7103465795516968,0.0
